अम्लवेतस,P,2.4.141
शतवेधिन्,P,2.4.141
नमस्कारी,S,2.4.141
गण्डकारी,S,2.4.141
समङ्गा,S,2.4.141
खदिरा,S,2.4.141
जीवन्ती,S,2.4.142
जीवनी,S,2.4.142
जीवा,S,2.4.142
जीवनीया,S,2.4.142
मधुस्रवा,S,2.4.142
कूर्चशीर्ष,P,2.4.142
मधुरक,P,2.4.142
शृङ्ग,P,2.4.142
ह्रस्वाङ्ग,P,2.4.142
जीवक,P,2.4.142
किराततिक्त,P,2.4.143
भूनिम्ब,P,2.4.143
अनार्यतिक्त,P,2.4.143
सप्तला,S,2.4.143
विमला,S,2.4.143
सातला,S,2.4.143
भूरिफेना,S,2.4.143
चर्मकषा,S,2.4.143
वायसोली,S,2.4.144
स्वादुरसा,S,2.4.144
वयःस्था,S,2.4.144
मकूलक,P,2.4.144
निकुम्भ,P,2.4.144
दन्तिका,S,2.4.144
प्रत्यक्श्रेणी,S,2.4.144
उदुम्बरपर्णी,S,2.4.144
अजमोदा,S,2.4.145
उग्रगन्धा,S,2.4.145
ब्रह्मदर्भा,S,2.4.145
यवानिका,S,2.4.145
पुष्कर,N,2.4.145
काश्मीर,N,2.4.145
पद्मपत्र,N,2.4.145
पौष्कर,N,2.4.145
अव्यथा,S,2.4.146
अतिचरा,S,2.4.146
पद्मा,S,2.4.146
चारटी,S,2.4.146
पद्मचारिणी,S,2.4.146
काम्पिल्य,P,2.4.146
कर्कश,P,2.4.146
चन्द्र,P,2.4.146
रक्ताङ्ग,P,2.4.146
रोचनी,S,2.4.146
प्रपुन्नाट,P,2.4.147
एडगज,P,2.4.147
दद्रुघ्न,P,2.4.147
चकमर्दक,P,2.4.147
पद्माट,P,2.4.147
उरणाख्य,P,2.4.147
पलाण्डु,P,2.4.147
सुकन्दक,P,2.4.147
लतार्क,P,2.4.148
दुद्रुम,P,2.4.148
महौषध,N,2.4.148
लशुन,N,2.4.148
गृञ्जन,P,2.4.148
अरिष्ट,P,2.4.148
महाकन्द,P,2.4.148
रसोनक,P,2.4.148
पुनर्नवा,S,2.4.149
शोथघ्नी,S,2.4.149
वितुन्न,N,2.4.149
सुनिषण्णक,N,2.4.149
वातक,P,2.4.149
शीतल,P,2.4.149
अपराजिता,S,2.4.149
शणपर्णी,S,2.4.149
पारावताङ्घ्रि,S,2.4.150
कटभी,S,2.4.150
पण्या,S,2.4.150
ज्योतिष्मती,S,2.4.150
लता,S,2.4.150
वार्षिक,N,2.4.150
त्रायमाणा,S,2.4.150
त्रायन्ती,S,2.4.150
बलभद्रिका,S,2.4.150
विष्वक्सेनप्रिया,S,2.4.151
गृष्टि,S,2.4.151
वाराही,S,2.4.151
बदरा,S,2.4.151
मार्कव,P,2.4.151
भृङ्गराज,P,2.4.151
काकमाची,S,2.4.151
वायसी,S,2.4.151
शतपुष्पा,S,2.4.152
सितच्छत्रा,S,2.4.152
अतिच्छत्रा,S,2.4.152
मधुरा,S,2.4.152
मिसि,S,2.4.152
अवाक्पुष्पी,S,2.4.152
कारवी,S,2.4.152
सरणा,S,2.4.152
प्रसारिणी,S,2.4.152
कटम्भरा,S,2.4.153
राजबला,S,2.4.153
भद्रबला,S,2.4.153
जनी,S,2.4.153
जतूका,S,2.4.153
रजनी,S,2.4.153
जतुकृत्,S,2.4.153
चक्रवर्तिनी,S,2.4.153
संस्पर्शा,S,2.4.154
शटी,S,2.4.154
गन्धमूली,S,2.4.154
षड्ग्रन्थिका,S,2.4.154
कर्चूर,P,2.4.154
पलाश,P,2.4.154
कारवेल्ल,P,2.4.154
कठिल्लक,P,2.4.154
सुषवी,S,2.4.155
कुलक,P,2.4.155
पटोल,P,2.4.155
तिक्तक,P,2.4.155
पटु,P,2.4.155
कूष्माण्डक,P,2.4.155
कर्कारु,P,2.4.155
ईर्वारु,PS,2.4.155
कर्कटी,S,2.4.155
इक्ष्वाकु,S,2.4.156
कटुतुम्बी,S,2.4.156
तुम्बी,S,2.4.156
अलाबू,S,2.4.156
चित्रा,S,2.4.156
गवाक्षी,S,2.4.156
गोडुम्बा,S,2.4.156
विशाला,S,2.4.156
इन्द्रवारुणी,S,2.4.156
अर्शोघ्न,P,2.4.157
सूरण,P,2.4.157
कन्द,P,2.4.157
गण्डीर,P,2.4.157
समष्ठिला,S,2.4.157
कलम्बी,S,2.4.157
उपोदका,S,2.4.157
मूलक,PN,2.4.157
हिलमोचिका,S,2.4.157
वास्तुक,N,2.4.158
दूर्वा,S,2.4.158
शतपर्विका,S,2.4.158
सहस्रवीर्या,S,2.4.158
भार्गवी,S,2.4.158
रुहा,S,2.4.158
अनन्ता,S,2.4.158
गोलोमी,S,2.4.159
शतवीर्या,S,2.4.159
गण्डाली,S,2.4.159
शकुलाक्षक,P,2.4.159
कुरुविन्द,P,2.4.159
मेघनामन्,P,2.4.159
मुस्ता,S,2.4.159
मुस्तक,PN,2.4.159
भद्रमुस्तक,P,2.4.160
गुन्द्रा,S,2.4.160
चूडाला,S,2.4.160
चक्रला,S,2.4.160
उच्चटा,S,2.4.160
वंश,P,2.4.160
त्वक्सार,P,2.4.160
कर्मार,P,2.4.160
त्वाचिसार,P,2.4.160
तृणध्वज,P,2.4.160
शतपर्वन्,P,2.4.161
यवफल,P,2.4.161
वेणु,P,2.4.161
मस्कर,P,2.4.161
तेजन,P,2.4.161
कीचक,P,2.4.161
ग्रन्थि,P,2.4.162
पर्वन्,N,2.4.162
परुस्,N,2.4.162
गुन्द्र,P,2.4.162
तेजनक,P,2.4.162
शर,P,2.4.162
नड,P,2.4.162
धमन,P,2.4.162
पोटगल,P,2.4.162
काश,PN,2.4.162
इक्षुगन्धा,S,2.4.163
पोटगल,P,2.4.163
बल्वज,PB,2.4.163
रसाल,P,2.4.163
इक्षु,P,2.4.163
पुण्ड्र,P,2.4.163
कान्तारक,P,2.4.163
वीरण,N,2.4.164
वीरतर,N,2.4.164
उशीर,PN,2.4.164
अभय,N,2.4.164
नलद,N,2.4.164
सेव्य,N,2.4.164
अमृणाल,N,2.4.164
जलाशय,N,2.4.164
लामज्जक,N,2.4.165
लघुलय,N,2.4.165
अवदाह,N,2.4.165
इष्टकापथ,N,2.4.165
तृण,N,2.4.165
कुश,PN,2.4.166
कुथ,P,2.4.166
दर्भ,P,2.4.166
पवित्र,N,2.4.166
कत्तृण,N,2.4.166
पौर,N,2.4.166
सौगन्धिक,N,2.4.166
ध्याम,N,2.4.166
देवजग्धक,N,2.4.166
रौहिष,N,2.4.166
छत्रा,S,2.4.167
अतिच्छत्र,P,2.4.167
पालघ्न,P,2.4.167
मालातृणक,N,2.4.167
भूस्तृण,N,2.4.167
शष्प,N,2.4.167
बालतृण,N,2.4.167
घास,P,2.4.167
यवस,N,2.4.167
तृण,N,2.4.167
अर्जुन,N,2.4.167
तृण्या,S,2.4.168
नड्या,S,2.4.168
तृणराजाह्वय,P,2.4.168
ताल,P,2.4.168
नालिकेर,P,2.4.168
लाङ्गली,S,2.4.168
घोण्टा,S,2.4.169
पूग,P,2.4.169
क्रमुक,P,2.4.169
गुवाक,P,2.4.169
खपुर,P,2.4.169
उद्वेग,N,2.4.169
हिन्ताल,P,2.4.169
खर्जूर,P,2.4.170
केतकी,S,2.4.170
ताली,S,2.4.170
खर्जुरी,S,2.4.170
सिंह,P,2.5.1
मृगेन्द्र,P,2.5.1
पञ्चास्य,P,2.5.1
हर्यक्ष,P,2.5.1
केसरिन्,P,2.5.1
हरि,P,2.5.1
कण्ठीरव,P,2.5.1
मृगरिपु,P,2.5.1
मृगदृष्टि,P,2.5.1
मृगाशन,P,2.5.1
पुण्डरीक,P,2.5.2
पञ्चनख,P,2.5.2
चित्रकाय,P,2.5.2
मृगद्विष्,P,2.5.2
शार्दूल,P,2.5.2
द्वीपिन्,P,2.5.2
व्याघ्र,P,2.5.2
तरक्षु,P,2.5.2
मृगादन,P,2.5.2
वराह,P,2.5.3
सूकर,P,2.5.3
घृष्टि,P,2.5.3
कोल,P,2.5.3
पोत्रिन्,P,2.5.3
किरि,P,2.5.3
किटि,P,2.5.3
दंष्ट्रिन्,P,2.5.3
घोणिन्,P,2.5.3
स्तब्धरोमन्,P,2.5.3
क्रोड,P,2.5.3
भूदार,P,2.5.3
कपि,P,2.5.4
प्लवङ्ग,P,2.5.4
प्लवग,P,2.5.4
शाखामृग,P,2.5.4
वलीमुख,P,2.5.4
मर्कट,P,2.5.4
वानर,P,2.5.4
कीश,P,2.5.4
वनौकस्,P,2.5.4
भल्लुक,P,2.5.4
ऋक्ष,P,2.5.5
भल्ल,P,2.5.5
भालूक,P,2.5.5
गण्डक,P,2.5.5
खड्ग,P,2.5.5
खड्गिन्,P,2.5.5
लुलाय,P,2.5.5
महिष,P,2.5.5
वाहद्विषत्,P,2.5.5
कासर,P,2.5.5
सैरिभ,P,2.5.5
शिवा,S,2.5.6
भूरिमाय,P,2.5.6
गोमायु,P,2.5.6
मृगधूर्तक,P,2.5.6
शृगाल,P,2.5.6
वञ्चक,P,2.5.6
क्रोष्टु,P,2.5.6
फेरु,P,2.5.6
फेरव,P,2.5.6
जम्बुक,P,2.5.6
ओतु,P,2.5.7
बिडाल,P,2.5.7
मार्जार,P,2.5.7
वृषदंशक,P,2.5.7
आखुभुज्,P,2.5.7
गौधार,P,2.5.7
गौधेर,P,2.5.7
गौधेय,P,2.5.7
गोधिकात्मज,P,2.5.7
श्वाविध्,P,2.5.8
शल्य,P,2.5.8
शलली,S,2.5.8
शलल,N,2.5.8
शल,N,2.5.8
वातप्रमी,P,2.5.8
वातमृग,P,2.5.8
कोक,P,2.5.8
ईहामृग,P,2.5.8
वृक,P,2.5.8
मृग,P,2.5.9
कुरङ्ग,P,2.5.9
वातायु,P,2.5.9
हरिण,P,2.5.9
अजिनयोनि,P,2.5.9
ऐणेय,V,2.5.9
ऐण,V,2.5.9
कदली,S,2.5.10
कन्दली,S,2.5.10
चीन,P,2.5.10
चमूरु,P,2.5.10
प्रियक,P,2.5.10
समूरु,P,2.5.10
हरिण,P,2.5.10
अमी,P,2.5.10
कृष्णसार,P,2.5.11
रुरु,P,2.5.11
न्यङ्कु,P,2.5.11
रङ्कु,P,2.5.11
शम्बर,P,2.5.11
रौहिष,P,2.5.11
गोकर्ण,P,2.5.11
पृषत,P,2.5.11
एण,P,2.5.11
ऋश्य,P,2.5.11
रोहित,P,2.5.11
चमर,P,2.5.11
मृग,P,2.5.11
गन्धर्व,P,2.5.12
शरभ,P,2.5.12
राम,P,2.5.12
सृमर,P,2.5.12
गवय,P,2.5.12
शश,P,2.5.12
पशु,P,2.5.12
अधोगन्तृ,P,2.5.13
खनक,P,2.5.13
वृक,P,2.5.13
पुन्ध्वज,P,2.5.13
उन्दुर,P,2.5.13
उन्दुरु,P,2.5.14
मूषक,P,2.5.14
आखु,P,2.5.14
गिरिका,S,2.5.14
बालमूषिका,S,2.5.14
लूता,S,2.5.14
तन्तुवाय,P,2.5.14
ऊर्णनाभ,P,2.5.14
मर्कटक,P,2.5.14
नीलङ्गु,P,2.5.15
कृमि,P,2.5.15
कर्णजलौका,S,2.5.15
शतपदी,S,2.5.15
वृश्चिक,P,2.5.15
शूककीट,P,2.5.15
अलि,P,2.5.15
द्रुण,P,2.5.15
वृश्चिक,P,2.5.15
पारावत,P,2.5.16
कलरव,P,2.5.16
कपोत,P,2.5.16
शशादन,P,2.5.16
पत्रिन्,P,2.5.16
श्येन,P,2.5.16
उलूक,P,2.5.16
वायसाराति,P,2.5.16
पेचक,P,2.5.16
दिवान्ध,P,2.5.17
कौशिक,P,2.5.17
घूक,P,2.5.17
दिवाभीत,P,2.5.17
निशाटन,P,2.5.17
व्याघ्राट,P,2.5.17
भरद्वाज,P,2.5.17
खञ्जरीट,P,2.5.17
खञ्जन,P,2.5.17
लोहपृष्ठ,P,2.5.18
कङ्क,P,2.5.18
चाष,P,2.5.18
किकीदिवि,P,2.5.18
कलिङ्ग,P,2.5.18
भृङ्ग,P,2.5.18
धूम्याट,P,2.5.18
शतपत्रक,P,2.5.18
दार्वाघाट,P,2.5.19
शारङ्ग,P,2.5.19
स्तोकक,P,2.5.19
चातक,P,2.5.19
कृकवाकु,P,2.5.19
ताम्रचूड,P,2.5.19
कुक्कुट,P,2.5.19
चारणायुध,P,2.5.19
चटक,P,2.5.20
कलविङ्क,P,2.5.20
चटका,S,2.5.20
चाटकैर,P,2.5.20
चटका,S,2.5.20
कर्करेटु,P,2.5.21
करेटु,P,2.5.21
कृकण,P,2.5.21
क्रकर,P,2.5.21
वनप्रिय,P,2.5.21
परभृत,P,2.5.21
कोकिल,P,2.5.21
पिक,P,2.5.21
काक,P,2.5.22
करट,P,2.5.22
अरिष्ट,P,2.5.22
बलिपुष्ट,P,2.5.22
सकृत्प्रज,P,2.5.22
ध्वाङ्क्ष,P,2.5.22
आत्मघोष,P,2.5.22
परभृत्,P,2.5.22
बलिभुज्,P,2.5.22
वायस,P,2.5.22
चिरञ्जीविन्,P,2.5.23
एकदृष्टि,P,2.5.23
मौकलि,P,2.5.23
द्रोणकाक,P,2.5.23
काकोल,P,2.5.23
दात्यूह,P,2.5.23
कालकण्ठक,P,2.5.23
आतायिन्,P,2.5.24
चिल्ल,P,2.5.24
दाक्षाय्य,P,2.5.24
गृध्र,P,2.5.24
कीर,P,2.5.24
शुक,P,2.5.24
क्रुञ्च्,P,2.5.24
क्रौञ्च,P,2.5.24
बक,P,2.5.24
कह्व,P,2.5.24
पुष्कराह्व,P,2.5.24
सारस,P,2.5.24
कोक,P,2.5.25
चक्र,P,2.5.25
चक्रवाक,P,2.5.25
रथाङ्गाह्वय,P,2.5.25
कादम्ब,P,2.5.25
कलहंस,P,2.5.25
उत्क्रोश,P,2.5.25
कुरर,P,2.5.25
हंस,P,2.5.26
श्वेतगरुत्,P,2.5.26
चक्राङ्ग,P,2.5.26
मानसौकस्,P,2.5.26
राजहंस,P,2.5.26
मल्लिकाक्ष,P,2.5.27
धार्तराष्ट्र,P,2.5.27
शरारि,S,2.5.27
आटि,S,2.5.27
आडि,S,2.5.27
बलाका,S,2.5.27
बिसकण्ठिका,S,2.5.27
वरटा,S,2.5.28
लक्ष्मणा,S,2.5.28
जतुका,S,2.5.28
अजिनपत्रा,S,2.5.28
परोष्णी,S,2.5.28
तैलपायिका,S,2.5.28
वर्वणा,S,2.5.29
मक्षिका,S,2.5.29
नीला,S,2.5.29
सरघा,S,2.5.29
मधुमक्षिका,S,2.5.29
पतङ्गिका,S,2.5.29
पुत्तिका,S,2.5.29
दंश,P,2.5.29
वनमक्षिका,S,2.5.29
दंशी,S,2.5.30
गन्धोली,S,2.5.30
वरटा,PS,2.5.30
भृङ्गारी,S,2.5.30
झीरुका,S,2.5.30
चीरी,S,2.5.30
झिल्लिका,S,2.5.30
पतङ्ग,P,2.5.31
शलभ,P,2.5.31
खद्योत,P,2.5.31
ज्योतिरिङ्गण,P,2.5.31
मधुव्रत,P,2.5.31
मधुकर,P,2.5.31
मधुलिह,P,2.5.31
मधुप,P,2.5.31
अलिन्,P,2.5.31
द्विरेफ,P,2.5.32
पुष्पलिह्,P,2.5.32
भृङ्ग,P,2.5.32
षट्पद,P,2.5.32
भ्रमर,P,2.5.32
अलि,P,2.5.32
मयूर,P,2.5.32
बर्हिण,P,2.5.32
बर्हिन्,P,2.5.32
नीलकण्ठ,P,2.5.32
भुजङ्गभुज्,P,2.5.32
शिखावल,P,2.5.33
शिखिन्,P,2.5.33
केकिन्,P,2.5.33
मेघनादानुलासिन्,P,2.5.33
केका,S,2.5.33
चन्द्रक,P,2.5.33
मेचक,P,2.5.33
शिखा,S,2.5.34
चूडा,S,2.5.34
शिखण्ड,P,2.5.34
पिच्छबर्ह,N,2.5.34
खग,P,2.5.34
विहङ्ग,P,2.5.34
विहग,P,2.5.34
विहङ्गम,P,2.5.34
विहायस्,P,2.5.34
शकुन्ति,P,2.5.35
पक्षिन्,P,2.5.35
शकुनि,P,2.5.35
शकुन्त,P,2.5.35
शकुन,P,2.5.35
द्विज,P,2.5.35
पतत्रिन्,P,2.5.35
पत्रिन्,P,2.5.35
पतग,P,2.5.35
पतत्,P,2.5.35
पत्ररथ,P,2.5.35
अण्डज,P,2.5.35
नगौकस्,P,2.5.36
वाजिन्,P,2.5.36
विकिर,P,2.5.36
वि,P,2.5.36
विष्किर,P,2.5.36
पतत्रि,P,2.5.36
नीडोद्भव,P,2.5.36
गरुत्मत्,P,2.5.36
पित्सन्त्,P,2.5.36
नभसङ्गम,P,2.5.36
हारीत,P,2.5.37
मद्गु,P,2.5.37
कारण्डव,P,2.5.37
प्लव,P,2.5.37
तित्तिरि,P,2.5.37
कुक्कुभ,P,2.5.37
लाव,P,2.5.37
जीवञ्जीव,P,2.5.37
कोरक,P,2.5.37
कोयष्टिक,P,2.5.38
टिट्टिभक,P,2.5.38
वर्तक,P,2.5.38
वर्तिक,P,2.5.38
गरुत्,P,2.5.38
पक्ष,P,2.5.38
छद,PN,2.5.38
पत्र,N,2.5.38
पतत्र,N,2.5.38
तनूरुह,N,2.5.38
पक्षति,S,2.5.39
पक्षमूल,N,2.5.39
चञ्चु,S,2.5.39
त्रोटि,S,2.5.39
प्रडीन,N,2.5.39
उड्डीन,N,2.5.39
सण्डीन,N,2.5.39
पेशी,S,2.5.40
कोश,PN,2.5.40
अण्ड,N,2.5.40
कुलाय,P,2.5.40
नीड,PN,2.5.40
पोत,P,2.5.40
पाक,P,2.5.40
अर्भक,P,2.5.40
डिम्भ,P,2.5.40
पृथुक,P,2.5.40
शावक,P,2.5.40
शिशु,P,2.5.40
स्त्रीपुंस,P,2.5.41
मिथुन,N,2.5.41
द्वन्द्व,N,2.5.41
युग्म,N,2.5.41
युगल,N,2.5.41
